;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7410 are extrapolated until 7438 (12:04:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Mon Mar 14 10:54:17 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00024056 ;ratio_vir2PMO6V (f10.8)
0.99976416 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1936     4.0449    -0.0954
    1939     4.0566    -0.1064
    1942     3.9983    -0.1136
    1945     4.0288    -0.1305
    1948     4.0762    -0.0312
    1951     4.0562    -0.1277
    1954     4.0362    -0.0828
    1957     4.0897    -0.0575
    1960     4.0854    -0.0778
    1963     4.1093    -0.0594
    1966     4.1049    -0.0517
    1969     4.1372    -0.0599
    1972     4.0813    -0.1038
    1975     4.1069    -0.0458
    1978     4.1297    -0.0128
    1981     4.1056    -0.0337
    1984     4.0815    -0.0546
    1987     4.1486    -0.0478
    1990     4.1634     0.0119
    1993     4.1255    -0.0063
    1996     4.0877    -0.0347
    1999     4.1079    -0.0297
    2002     4.1054     0.0098
    2005     4.1030    -0.0363
    2008     4.1956     0.0401
    2011     4.2118     0.0215
    2014     4.2280     0.0028
    2017     4.2539     0.0496
    2020     4.2027     0.0346
    2023     4.0734    -0.0316
    2026     4.2060     0.0639
    2029     4.1998     0.0426
    2032     4.2746     0.0577
    2035     4.2083     0.0357
    2038     4.2809     0.0913
    2041     4.2447     0.0527
    2044     4.2085     0.0140
    2047     4.2927     0.0783
    2050     4.2642     0.0498
    2053     4.2215     0.0159
    2056     4.2721     0.0402
    2059     4.2835     0.0256
    2062     4.1720     0.0233
    2065     4.2899     0.0219
    2068     4.2356     0.0285
    2071     4.2490     0.0352
    2074     4.2624     0.0419
    2077     4.2667     0.0390
    2080     4.3329     0.0845
    2083     4.2386     0.0232
    2086     4.2064    -0.0181
    2089     4.2847    -0.0075
    2092     4.2902     0.0318
    2095     4.3236     0.0056
    2098     4.2510    -0.0306
    2101     4.3087    -0.0240
    2104     4.1850    -0.0067
    2107     4.2459    -0.0277
    2110     4.2406    -0.0401
    2113     4.2202    -0.0844
    2116     4.2177    -0.0491
    2119     4.2875    -0.0112
    2122     4.2386    -0.0180
    2125     4.2334    -0.0678
    2128     4.2243    -0.0303
    2131     4.1991    -0.0518
    2134     4.2363    -0.1044
    2137     4.2765    -0.0659
    2140     4.2063    -0.0918
    2143     4.1616    -0.1418
    2146     4.2232    -0.1595
    2149     4.1773    -0.1130
    2152     4.1971    -0.0642
    2155     4.2170    -0.1137
    2158     4.1911    -0.1246
    2161     4.2093    -0.1167
    2164     4.2276    -0.1088
    2167     4.0937    -0.1117
    2170     4.3081    -0.1073
    2173     4.3234    -0.1079
    2176     4.2504    -0.1022
    2179     4.2213    -0.1427
    2182     4.2439    -0.1227
    2185     4.2665    -0.1028
    2188     4.3095    -0.0602
    2191     4.3348    -0.0694
    2194     4.3601    -0.0786
    2197     4.3090    -0.1357
    2200     4.2178    -0.1705
    2203     4.3321    -0.1137
    2206     4.3028    -0.0972
    2209     4.3330    -0.0848
    2212     4.4226    -0.0656
    2215     4.3165    -0.0818
    2218     4.4193    -0.0454
    2221     4.3674    -0.0779
    2224     4.3154    -0.1080
    2227     4.2376    -0.1302
    2230     4.2873    -0.1455
    2233     4.2546    -0.0927
    2236     4.2496    -0.1281
    2239     4.2797    -0.0758
    2242     4.2975    -0.1161
    2245     4.3293    -0.1045
    2248     4.3039    -0.0605
    2251     4.2615    -0.0778
    2254     4.2629    -0.0951
    2257     4.2919    -0.0541
