;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7581 are extrapolated until 7609 (30:09:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Tue Aug 09 18:22:49 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00029612 ;ratio_vir2PMO6V (f10.8)
0.99970693 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    2248     4.2592    -0.1162
    2251     4.2278    -0.1279
    2254     4.1965    -0.1395
    2257     4.2202    -0.0945
    2260     4.2439    -0.0494
    2263     4.2675    -0.0043
    2266     4.2912    -0.0195
    2269     4.2236    -0.1497
    2272     4.3645    -0.0964
    2275     4.3519    -0.1160
    2278     4.3183    -0.2048
    2281     4.3121    -0.2196
    2284     4.3058    -0.2343
    2287     4.2830    -0.2532
    2290     4.3436    -0.2790
    2293     4.3468    -0.2558
    2296     4.3500    -0.2660
    2299     4.3449    -0.2969
    2302     4.3310    -0.7121
    2305     4.3203    -0.7487
    2308     4.2593    -0.0450
    2311     4.3066    -0.0551
    2314     4.3539     0.2359
    2317     4.3623     0.2245
    2320     4.3469     0.2517
    2323     4.3730     0.1622
    2326     4.3990     0.1974
    2329     4.3461     0.2179
    2332     4.3154     0.1819
    2335     4.2848     0.2021
    2338     4.3472     0.1872
    2341     4.3457     0.2016
    2344     4.3442     0.2271
    2347     4.3642     0.2165
    2350     4.3758     0.1708
    2353     4.3743     0.2098
    2356     4.3727     0.1973
    2359     4.3529     0.1818
    2362     4.3353     0.2253
    2365     4.3177     0.1837
    2368     4.3397     0.2152
    2371     4.3365     0.2201
    2374     4.3333     0.2249
    2377     4.3476     0.2081
    2380     4.3012     0.1913
    2383     4.3059     0.2187
    2386     4.3106     0.1870
    2389     4.3772     0.2006
    2392     4.4304     0.1752
    2395     4.3469     0.2184
    2398     4.3640     0.1932
    2401     4.3556     0.2179
    2404     4.3472     0.1770
