;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7763 are extrapolated until 7789 (29:03:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sun Feb 05 17:01:55 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00031745 ;ratio_vir2PMO6V (f10.8)
0.99968378 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1945     3.9738    -0.1046
    1948     4.0116    -0.0799
    1951     3.9872    -0.1035
    1954     3.9627    -0.0665
    1957     4.0520    -0.0611
    1960     4.0232    -0.0996
    1963     4.0349    -0.0870
    1966     4.0465    -0.0843
    1969     4.0786    -0.0612
    1972     4.0799    -0.0807
    1975     4.0811    -0.0413
    1978     4.0831    -0.0262
    1981     4.0493    -0.0049
    1984     4.0154    -0.0142
    1987     4.0569    -0.0925
    1990     4.0886     0.0117
    1993     4.0891     0.0370
    1996     4.0895     0.0021
    1999     4.0213    -0.0451
    2002     4.0390     0.0301
    2005     4.0567    -0.0301
    2008     4.0627    -0.0128
    2011     4.0923    -0.0079
    2014     4.1219    -0.0180
    2017     4.1544     0.0575
    2020     4.1271     0.0390
    2023     4.1403     0.0029
    2026     4.1534     0.0446
    2029     4.1325     0.0589
    2032     4.0877     0.0271
    2035     4.1183     0.0300
    2038     4.1678     0.0581
    2041     4.1525     0.0550
    2044     4.1372     0.0518
    2047     4.1798     0.0762
    2050     4.1904     0.0612
    2053     4.1290     0.0032
    2056     4.1727     0.0074
    2059     4.2211     0.0461
    2062     4.1003    -0.0028
    2065     4.2339     0.0472
    2068     4.2288     0.0341
    2071     4.2319     0.0211
    2074     4.2349     0.0822
    2077     4.1206    -0.0222
    2080     4.2030     0.0379
    2083     4.1290     0.0011
    2086     4.1196    -0.0500
    2089     4.2263     0.0100
    2092     4.2247    -0.0108
    2095     4.2231     0.0216
    2098     4.1500    -0.0472
    2101     4.1142    -0.0612
    2104     4.0784    -0.0752
    2107     4.1522    -0.0576
    2110     4.2125     0.0093
    2113     4.1669    -0.0864
    2116     4.1660    -0.0695
    2119     4.1948    -0.0645
    2122     4.2006    -0.0498
    2125     4.2065    -0.0661
    2128     4.1789    -0.0660
    2131     4.1840    -0.0943
    2134     4.2072    -0.1226
    2137     4.1905    -0.1069
    2140     4.1997    -0.1013
    2143     4.2202    -0.0943
    2146     4.2950    -0.1458
    2149     4.2298    -0.0984
    2152     4.2003    -0.0478
    2155     4.1709    -0.1423
    2158     4.1826    -0.1321
    2161     4.1814    -0.0972
    2164     4.1802    -0.1127
    2167     4.0981    -0.1241
    2170     4.2133    -0.1354
    2173     4.2411    -0.1163
    2176     4.1979    -0.1457
    2179     4.1991    -0.1268
    2182     4.2116    -0.1059
    2185     4.2240    -0.1196
    2188     4.2160    -0.1194
    2191     4.2571    -0.1005
    2194     4.2982    -0.0814
    2197     4.2970    -0.0807
    2200     4.2074    -0.1389
    2203     4.3231    -0.0734
    2206     4.2205    -0.0989
    2209     4.2475    -0.1177
    2212     4.3056    -0.1024
    2215     4.2966    -0.0740
    2218     4.3055    -0.0814
    2221     4.3131    -0.0849
    2224     4.3206    -0.0883
    2227     4.2218    -0.0950
    2230     4.2768    -0.1102
    2233     4.2773    -0.0537
    2236     4.2748    -0.0605
    2239     4.2349    -0.0948
    2242     4.3062    -0.1104
    2245     4.2520    -0.1098
    2248     4.2823    -0.0897
    2251     4.2510    -0.1013
    2254     4.2197    -0.1129
    2257     4.2435    -0.0679
    2260     4.2672    -0.0228
    2263     4.2909     0.0223
    2266     4.3146     0.0072
    2269     4.2472    -0.1230
    2272     4.3880    -0.0695
    2275     4.3756    -0.0892
    2278     4.3420    -0.1780
    2281     4.3357    -0.1926
    2284     4.3295    -0.2072
    2287     4.3068    -0.2262
    2290     4.3674    -0.2519
    2293     4.3707    -0.2287
    2296     4.3739    -0.2388
    2299     4.3688    -0.2697
    2302     4.3550    -0.6849
    2305     4.3444    -0.7214
    2308     4.2835    -0.0177
    2311     4.3308    -0.0278
    2314     4.3780     0.2633
    2317     4.3865     0.2520
    2320     4.3712     0.2792
    2323     4.3973     0.1898
    2326     4.4233     0.2250
    2329     4.3704     0.2456
    2332     4.3398     0.2096
    2335     4.3092     0.2298
    2338     4.3718     0.2150
    2341     4.3703     0.2295
    2344     4.3688     0.2549
    2347     4.3888     0.2444
    2350     4.4004     0.1986
    2353     4.3990     0.2378
    2356     4.3975     0.2254
    2359     4.3778     0.2098
    2362     4.3602     0.2535
    2365     4.3426     0.2119
    2368     4.3647     0.2434
    2371     4.3615     0.2483
    2374     4.3583     0.2531
    2377     4.3727     0.2363
    2380     4.3264     0.2196
    2383     4.3311     0.2471
    2386     4.3358     0.2154
    2389     4.4025     0.2292
    2392     4.4558     0.2037
    2395     4.3723     0.2470
    2398     4.3894     0.2218
    2401     4.3811     0.2465
    2404     4.3728     0.2056
    2407     4.3868     0.2370
    2410     4.3316     0.1844
    2413     4.3051     0.1746
    2416     4.3829     0.2078
    2419     4.3786     0.1477
    2422     4.3679     0.1871
    2425     4.3573     0.1740
    2428     4.3819     0.1632
    2431     4.4109     0.1705
    2434     4.4399     0.1777
    2437     4.3425     0.0706
    2440     4.4459     0.1318
    2443     4.4321     0.1889
    2446     4.3667     0.1606
    2449     4.3638     0.1323
    2452     4.4375     0.1478
    2455     4.3910     0.1073
    2458     4.4327     0.2000
    2461     4.4227     0.1877
    2464     4.4127     0.1753
    2467     4.4329     0.1630
    2470     4.4382     0.1098
    2473     4.3742     0.1107
    2476     4.3735     0.1444
    2479     4.4050     0.1720
    2482     4.4496     0.1850
    2485     4.4941     0.1980
    2488     4.4617     0.1462
    2491     4.4328     0.1268
    2494     4.4039     0.1009
    2497     4.4898     0.1211
    2500     4.3774     0.1414
    2503     4.3668     0.0720
    2506     4.3561     0.1249
    2509     4.3485     0.0846
    2512     4.3955     0.0840
    2515     4.4425     0.1115
    2518     4.4661     0.0902
    2521     4.4410     0.1159
    2524     4.4158     0.1048
    2527     4.3880     0.0909
    2530     4.4257     0.0609
    2533     4.4339     0.1276
    2536     4.3720     0.1107
    2539     4.4363     0.1242
    2542     4.4451     0.1453
    2545     4.4539     0.1105
    2548     4.4742     0.1118
    2551     4.3463     0.1343
    2554     4.4488     0.0921
    2557     4.4482     0.1295
    2560     4.4998     0.1145
    2563     4.5088     0.1688
    2566     4.5031     0.1290
    2569     4.4345     0.1169
    2572     4.5004     0.1386
    2575     4.4889     0.1407
    2578     4.4759     0.1293
    2581     4.4540     0.1264
    2584     4.4322     0.1234
    2587     4.4795     0.1339
    2590     4.3988     0.1134
    2593     4.4734     0.1236
    2596     4.5445     0.1323
    2599     4.5128     0.1409
    2602     4.4671     0.1139
    2605     4.4916     0.0868
    2608     4.5227     0.0863
    2611     4.4936     0.0857
    2614     4.4800     0.0834
    2617     4.4316     0.0577
    2620     4.4717     0.0510
    2623     4.5119     0.0444
    2626     4.5118     0.1282
    2629     4.5170     0.1073
    2632     4.4736     0.0863
    2635     4.5240     0.1129
    2638     4.5372     0.0709
    2641     4.5436     0.0766
    2644     4.5500     0.0822
    2647     4.5151     0.0735
    2650     4.5028     0.0649
    2653     4.4842     0.0734
    2656     4.5101     0.0229
    2659     4.5277     0.0600
    2662     4.5573     0.0788
    2665     4.4600     0.0616
    2668     4.5408     0.0581
    2671     4.5536     0.0692
    2674     4.5665     0.0803
