;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19961128 1359.89737 1364.97437 1365.30701 1364.63892
19961129 1360.15459 1365.23254 1365.56689 1364.89563
19961130 1360.40780 1365.48669 1365.82983 1365.15625
19961201 1360.55690 1365.63635 1365.98608 1365.27722
19961202 1360.56870 1365.64819 1366.01880 1365.27930
19961203 1360.52248 1365.60181 1365.96094 1365.24390
19961204 1360.53148 1365.61084 1365.95203 1365.26819
19961205 1360.49719 1365.57642 1365.92542 1365.22717
19961206 1360.52419 1365.60352 1365.95557 1365.25000
19961207 1360.55277 1365.63220 1365.97693 1365.28674
19961208 1360.53951 1365.61890 1365.95386 1365.28186
19961209 1360.54340 1365.62280 1365.96631 1365.27832
19961210 1360.56602 1365.64551 1365.99976 1365.29187
19961211 1360.61382 1365.69348 1366.02625 1365.35706
19961212 1360.66794 1365.74780 1366.08740 1365.40649
19961213 1360.75331 1365.83350 1366.17822 1365.48804
19961214 1360.79807 1365.87842 1366.20410 1365.54907
19961215 1360.75343 1365.83362 1366.17188 1365.49329
19961216 1360.72133 1365.80139 1366.13586 1365.46252
19961217 1360.76572 1365.84595 1366.17273 1365.51563
19961218 1360.78736 1365.86768 1366.20630 1365.52710
19961219 1360.81752 1365.89795 1366.25525 1365.54138
19961220 1360.85681 1365.93738 1366.28113 1365.59241
19961221 1360.85766 1365.93823 1366.27429 1365.59668
19961222 1360.82750 1365.90796 1366.24585 1365.56787
19961223 1360.75149 1365.83167 1366.18250 1365.48035
19961224 1360.69262 1365.77258 1366.10181 1365.43994
19961225 1360.64994 1365.72974 1366.09302 1365.34961
19961226 1360.66015 1365.73999 1366.09705 1365.38147
19961227 1360.64118 1365.72095 1366.09302 1365.35095
19961228 1360.61795 1365.69763 1366.06799 1365.32910
19961229 1360.54535 1365.62476 1366.00024 1365.25159
19961230 1360.53720 1365.61658 1365.98071 1365.25354
19961231 1360.57441 1365.65393 1365.99915 1365.30273
19970101 1360.58305 1365.66260 1366.01587 1365.30908
19970102 1360.60068 1365.68030 1366.03516 1365.32532
19970103 1360.65881 1365.73865 1366.08374 1365.39209
19970104 1360.65067 1365.73047 1366.09045 1365.37085
19970105 1360.65225 1365.73206 1366.08752 1365.37830
19970106 1360.63327 1365.71301 1366.05725 1365.36731
19970107 1360.66100 1365.74084 1366.09314 1365.38794
19970108 1360.71780 1365.79785 1366.16113 1365.43506
19970109 1360.74796 1365.82813 1366.19995 1365.45776
19970110 1360.79028 1365.87061 1366.21570 1365.52246
19970111 1360.77678 1365.85706 1366.21204 1365.50146
19970112 1360.72108 1365.80115 1366.15222 1365.44910
19970113 1360.70345 1365.78345 1366.13586 1365.43018
19970114 1360.74796 1365.82813 1366.15881 1365.49402
19970115 1360.71987 1365.79993 1366.11768 1365.46777
19970116 1360.70150 1365.78149 1366.14978 1365.41382
19970117 1360.75039 1365.83057 1366.15686 1365.50024
19970118 1360.68837 1365.76831 1366.11731 1365.41760
19970119 1360.66635 1365.74622 1366.10266 1365.38892
19970120 1360.66940 1365.74927 1366.07751 1365.41321
19970121 1360.64811 1365.72791 1366.12219 1365.33679
19970122 1360.60725 1365.68689 1366.06226 1365.31262
19970123 1360.60932 1365.68896 1366.07776 1365.30261
19970124 1360.64276 1365.72253 1366.10095 1365.34558
19970125 1360.64227 1365.72205 1366.07764 1365.36255
19970126 1360.58767 1365.66724 1366.05774 1365.27917
19970127 1360.56870 1365.64819 1366.03052 1365.26733
19970128 1360.61151 1365.69116 1366.06726 1365.31580
19970129 1360.59728 1365.67688 1366.06226 1365.29309
19970130 1360.61528 1365.69495 1366.06995 1365.32080
19970131 1360.64604 1365.72583 1366.09290 1365.35840
19970201 1360.64227 1365.72205 1366.10461 1365.34070
