;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19970318 1360.67462 1365.75452 1366.13647 1365.37280
19970319 1360.56310 1365.64258 1366.02954 1365.25574
19970320 1360.53318 1365.61255 1366.01001 1365.21497
19970321 1360.54912 1365.62854 1366.01917 1365.23877
19970322 1360.54413 1365.62354 1366.02307 1365.22388
19970323 1360.57186 1365.65137 1366.05481 1365.24768
19970324 1360.57417 1365.65369 1366.05579 1365.25134
19970325 1360.60360 1365.68323 1366.07214 1365.29443
19970326 1360.59168 1365.67126 1366.06750 1365.27563
19970327 1360.63923 1365.71899 1366.10461 1365.33337
19970328 1360.70953 1365.78955 1366.15186 1365.42773
19970329 1360.67572 1365.75562 1366.12830 1365.38330
19970330 1360.62671 1365.70642 1366.09729 1365.31543
19970331 1360.61394 1365.69360 1366.07593 1365.31580
19970401 1360.63060 1365.71033 1366.09106 1365.33020
19970402 1360.60007 1365.67969 1366.07092 1365.28821
19970403 1360.69688 1365.77686 1366.16040 1365.39148
19970404 1360.77557 1365.85583 1366.26367 1365.44763
19970405 1360.83236 1365.91284 1366.31482 1365.50879
19970406 1360.83662 1365.91711 1366.32849 1365.50549
19970407 1360.83504 1365.91553 1366.31921 1365.51172
19970408 1360.76194 1365.84216 1366.26245 1365.42139
19970409 1360.72996 1365.81006 1366.19714 1365.42297
19970410 1360.65577 1365.73560 1366.12695 1365.34595
19970411 1360.69007 1365.77002 1366.17371 1365.36597
19970412 1360.73811 1365.81824 1366.23206 1365.39441
19970413 1360.72704 1365.80713 1366.19275 1365.42151
19970414 1360.64264 1365.72241 1366.11060 1365.33423
19970415 1360.58548 1365.66504 1366.04199 1365.28882
19970416 1360.55933 1365.63879 1366.03687 1365.24060
19970417 1360.55520 1365.63464 1366.03149 1365.23755
19970418 1360.60701 1365.68665 1366.07092 1365.30225
19970419 1360.57940 1365.65894 1366.06555 1365.25220
19970420 1360.59266 1365.67224 1366.06665 1365.27710
19970421 1360.59107 1365.67065 1366.06311 1365.27820
19970422 1360.55167 1365.63110 1366.03333 1365.22864
