;        VIRGO(new) Virgo(org) DIARAD(org) PMO6V (org)
19970407 1360.76483 1365.93728 1366.34332 1365.53098
19970408 1360.69603 1365.86822 1366.28653 1365.44947
19970409 1360.65431 1365.82634 1366.21691 1365.43571
19970410 1360.58585 1365.75763 1366.15041 1365.36638
19970411 1360.62807 1365.80001 1366.20358 1365.39188
19970412 1360.66692 1365.83900 1366.25487 1365.41631
19970413 1360.65911 1365.83116 1366.21705 1365.44527
19970414 1360.57231 1365.74404 1366.13226 1365.35577
19970415 1360.51368 1365.68518 1366.06443 1365.30610
19970416 1360.49001 1365.66142 1366.06210 1365.26055
19970417 1360.48857 1365.65997 1366.05739 1365.26239
19970418 1360.54048 1365.71208 1366.09969 1365.32443
19970419 1360.51222 1365.68371 1366.09018 1365.27700
19970420 1360.52226 1365.69379 1366.09023 1365.29650
19970421 1360.52309 1365.69462 1366.08916 1365.29998
19970422 1360.48300 1365.65438 1366.05795 1365.25061
19970423 1360.49944 1365.67089 1366.05676 1365.28498
19970424 1360.51831 1365.68982 1366.06912 1365.31055
19970425 1360.54457 1365.71618 1366.10834 1365.31965
19970426 1360.54093 1365.71253 1366.10790 1365.31707
19970427 1360.61912 1365.79102 1366.17451 1365.40751
