;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7514 are extrapolated until 7540 (23:07:2016)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Wed Jun 08 15:29:16 2016
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00030888 ;ratio_vir2PMO6V (f10.8)
0.99969307 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    1957     4.0414    -0.0736
    1960     4.0125    -0.1122
    1963     4.0242    -0.0997
    1966     4.0359    -0.0970
    1969     4.0680    -0.0739
    1972     4.0692    -0.0934
    1975     4.0705    -0.0540
    1978     4.0725    -0.0390
    1981     4.0386    -0.0177
    1984     4.0047    -0.0270
    1987     4.0462    -0.1054
    1990     4.0780    -0.0012
    1993     4.0784     0.0241
    1996     4.0789    -0.0109
    1999     4.0107    -0.0580
    2002     4.0283     0.0172
    2005     4.0460    -0.0430
    2008     4.0520    -0.0259
    2011     4.0816    -0.0210
    2014     4.1112    -0.0311
    2017     4.1437     0.0445
    2020     4.1162     0.0260
    2023     4.1294    -0.0102
    2026     4.1426     0.0314
    2029     4.1217     0.0457
    2032     4.0769     0.0139
    2035     4.1074     0.0168
    2038     4.1569     0.0449
    2041     4.1417     0.0418
    2044     4.1264     0.0386
    2047     4.1688     0.0629
    2050     4.1794     0.0479
    2053     4.1181    -0.0102
    2056     4.1617    -0.0059
    2059     4.2100     0.0327
    2062     4.0892    -0.0163
    2065     4.2227     0.0337
    2068     4.2176     0.0207
    2071     4.2206     0.0076
    2074     4.2237     0.0687
    2077     4.1093    -0.0357
    2080     4.1916     0.0244
    2083     4.1178    -0.0125
    2086     4.1081    -0.0635
    2089     4.2150    -0.0035
    2092     4.2133    -0.0245
    2095     4.2117     0.0079
    2098     4.1385    -0.0609
    2101     4.1027    -0.0749
    2104     4.0669    -0.0889
    2107     4.1406    -0.0714
    2110     4.2008    -0.0045
    2113     4.1552    -0.1002
    2116     4.1542    -0.0833
    2119     4.1829    -0.0784
    2122     4.1888    -0.0637
    2125     4.1946    -0.0799
    2128     4.1670    -0.0798
    2131     4.1720    -0.1082
    2134     4.1952    -0.1365
    2137     4.1786    -0.1210
    2140     4.1877    -0.1152
    2143     4.2083    -0.1083
