;Corrections to calculate VIRGO TSI from PMO6V or DIARAD level-1 data
;   values after Mission Day 7994 are extrapolated until 8020 (15:11:2017)
;   Mission Day 31.0 corresponds to 1 January 1996, 00 UTC
;   file written: Sat Sep 30 09:30:10 2017
;Algorism: VIRGO_TSI=(Rad_level_1+CorRad)*ratio_vir2Rad with Rad=PMO6V or DIARAD
;    CorRad is from table below and should be interpolated to MDay of Rad_level_1
;    if only PMO6V or DIARAD level2 are needed, no multiplication by ratio_vir2rad is needed
1.00036420 ;ratio_vir2PMO6V (f10.8)
0.99963534 ;ratio_vir2DIARAD (f10.8)
;Colums:  MissionDay, Cor_PMO6V and Cor_DIARAD formated as (i8,2f11.4)
    2209     4.2836    -0.0898
    2212     4.3416    -0.0709
    2215     4.3326    -0.0372
    2218     4.3416    -0.0381
    2221     4.3490    -0.0358
    2224     4.3565    -0.0335
    2227     4.2577    -0.0378
    2230     4.3127    -0.0506
    2233     4.3130     0.0081
    2236     4.3105     0.0031
    2239     4.2706    -0.0303
    2242     4.3420    -0.0458
    2245     4.2876    -0.0465
    2248     4.3180    -0.0292
    2251     4.2866    -0.0423
    2254     4.2553    -0.0554
    2257     4.2789    -0.0080
    2260     4.3026     0.0393
    2263     4.3263     0.0866
    2266     4.3500     0.0711
    2269     4.2826    -0.0604
    2272     4.4234    -0.0090
    2275     4.4108    -0.0307
    2278     4.3773    -0.1217
    2281     4.3710    -0.1392
    2284     4.3646    -0.1566
    2287     4.3420    -0.1798
    2290     4.4025    -0.2088
    2293     4.4057    -0.1878
    2296     4.4088    -0.1993
    2299     4.4037    -0.2304
    2302     4.3899    -0.6445
    2305     4.3791    -0.6786
    2308     4.3182     0.0289
    2311     4.3654     0.0242
    2314     4.4126     0.3170
    2317     4.4210     0.3061
    2320     4.4057     0.3347
    2323     4.4316     0.2473
    2326     4.4576     0.2844
    2329     4.4047     0.3069
    2332     4.3740     0.2717
    2335     4.3434     0.2917
    2338     4.4058     0.2750
    2341     4.4043     0.2854
    2344     4.4028     0.3116
    2347     4.4228     0.3028
    2350     4.4343     0.2571
    2353     4.4328     0.2950
    2356     4.4313     0.2807
    2359     4.4115     0.2630
