19960126 042920 1365.55502  -99.00000 1365.02827  -99.00000 1365.23713
19960126 052920 1365.54585  -99.00000 1365.01910  -99.00000 1365.22804
19960126 062920 1365.55253  -99.00000 1365.02576  -99.00000 1365.23479
19960126 072920 1365.58986  -99.00000 1365.06307  -99.00000 1365.27218
19960126 082920 1365.58621  -99.00000 1365.05941  -99.00000 1365.26861
19960126 092920 1365.59313  -99.00000 1365.06632  -99.00000 1365.27561
19960126 102920 1365.56931  -99.00000 1365.04250  -99.00000 1365.25188
19960126 112920 1365.53891  -99.00000 1365.01210  -99.00000 1365.22157
19960126 122920 1365.52385  -99.00000 1364.99703  -99.00000 1365.20660
19960126 132920 1365.54127  -99.00000 1365.01444  -99.00000 1365.22410
19960126 142920 1365.58386  -99.00000 1365.05699  -99.00000 1365.26675
19960126 152920 1365.59018  -99.00000 1365.06330  -99.00000 1365.27315
19960126 162920 1365.52362  -99.00000 1364.99674  -99.00000 1365.20668
19960126 172920 1365.52428  -99.00000 1364.99739  -99.00000 1365.20743
19960126 182920 1365.55629  -99.00000 1365.02937  -99.00000 1365.23951
19960126 192920 1365.54614  -99.00000 1365.01920  -99.00000 1365.22945
19960126 202920 1365.56558  -99.00000 1365.03862  -99.00000 1365.24896
19960126 212920 1365.61863  -99.00000 1365.09164  -99.00000 1365.30208
19960126 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960126 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 002920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 012920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 022920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 032920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 042920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 052920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 062920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 072920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 082920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 092920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 102920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 112920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 122920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 132920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 142920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 152920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 162920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 172920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 182920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 192920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 202920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 212920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 222920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960127 232920  -99.00000  -99.00000  -99.00000  -99.00000  -99.00000
19960128 002920 1365.58036  -99.00000 1365.05317  -99.00000 1365.26613
19960128 012920 1365.56933  -99.00000 1365.04215  -99.00000 1365.25522
19960128 022920 1365.56906  -99.00000 1365.04190  -99.00000 1365.25506
19960128 032920 1365.56707  -99.00000 1365.03992  -99.00000 1365.25319
19960128 042920 1365.56493  -99.00000 1365.03780  -99.00000 1365.25116
19960128 052920 1365.56289  -99.00000 1365.03578  -99.00000 1365.24925
19960128 062920 1365.56091  -99.00000 1365.03381  -99.00000 1365.24738
19960128 072920 1365.55886  -99.00000 1365.03179  -99.00000 1365.24546
19960128 082920 1365.55809  -99.00000 1365.03103  -99.00000 1365.24480
19960128 092920 1365.55866  -99.00000 1365.03162  -99.00000 1365.24551
19960128 102920 1365.55451  -99.00000 1365.02749  -99.00000 1365.24148
19960128 112920 1365.54912  -99.00000 1365.02213  -99.00000 1365.23622
19960128 122920 1365.56018  -99.00000 1365.03320  -99.00000 1365.24741
